domain,experiment_name,coverage,avg_solution_size
AssemblyHierarchical,NOVELTY-satisTDG,3,5.00
AssemblyHierarchical,SATIS-TDG,4,6.00
Barman-BDI,NOVELTY-satisTDG,10,44.10
Barman-BDI,SATIS-TDG,10,46.30
Blocksworld-GTOHP,NOVELTY-satisTDG,14,121.00
Blocksworld-GTOHP,SATIS-TDG,15,110.00
Blocksworld-HPDDL,NOVELTY-satisTDG,5,67.40
Blocksworld-HPDDL,SATIS-TDG,5,66.20
Childsnack,NOVELTY-satisTDG,5,55.00
Childsnack,SATIS-TDG,5,55.00
Depots,NOVELTY-satisTDG,15,57.33
Depots,SATIS-TDG,15,57.33
Factories-simple,NOVELTY-satisTDG,5,111.00
Factories-simple,SATIS-TDG,5,111.00
Hiking,NOVELTY-satisTDG,5,49.00
Hiking,SATIS-TDG,5,49.00
Logistics-Learned-ECAI-16,NOVELTY-satisTDG,10,57.30
Logistics-Learned-ECAI-16,SATIS-TDG,10,57.30
Minecraft-Regular,NOVELTY-satisTDG,12,83.25
Minecraft-Regular,SATIS-TDG,12,83.25
Monroe-Fully-Observable,NOVELTY-satistdg,10,18.30
Monroe-Fully-Observable,SATIS-TDG,10,18.30
Monroe-Partially-Observable,NOVELTY-satistdg,3,8.33
Monroe-Partially-Observable,SATIS-TDG,4,10.50
Multiarm-Blocksworld,NOVELTY-satisTDG,5,40.20
Multiarm-Blocksworld,SATIS-TDG,5,37.80
Robot,NOVELTY-satisTDG,11,14.09
Robot,SATIS-TDG,11,13.73
Rover-GTOHP,NOVELTY-satisTDG,10,68.20
Rover-GTOHP,SATIS-TDG,10,68.20
Satellite-GTOHP,NOVELTY-satisTDG,13,102.38
Satellite-GTOHP,SATIS-TDG,13,100.38
Snake,NOVELTY-satisTDG,3,36.67
Snake,SATIS-TDG,3,36.67
Towers,NOVELTY-satisTDG,11,371.18
Towers,SATIS-TDG,11,371.18
Transport,NOVELTY-satisTDG,11,24.18
Transport,SATIS-TDG,11,24.18
