domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Blocksworld-GTOHP,p10,LMCOUNT-update,0.0401,146,1042,lmcount,,175,65,1,109,0,,,,,,
Blocksworld-HPDDL,pfile_045,LMCOUNT-update,1.3147,230,18691,lmcount,,268,48,2,218,0,,,,,,
Blocksworld-HPDDL,pfile_050,LMCOUNT-update,2.133,263,26769,lmcount,,301,53,2,246,0,,,,,,
Blocksworld-HPDDL,pfile_025,LMCOUNT,46.1597,118,2893152,lmcount,,152,28,2,122,0,,,,,,
Blocksworld-HPDDL,pfile_025,LMCOUNT-update,0.2011,126,5013,lmcount,,152,28,2,122,0,,,,,,
Blocksworld-HPDDL,pfile_030,LMCOUNT,0.2969,129,32024,lmcount,,179,33,2,144,0,,,,,,
Blocksworld-HPDDL,pfile_030,LMCOUNT-update,0.4012,145,8132,lmcount,,179,33,2,144,0,,,,,,
Blocksworld-HPDDL,pfile_035,LMCOUNT-update,0.5608,181,10370,lmcount,,213,38,2,173,0,,,,,,
Blocksworld-HPDDL,pfile_005,LMCOUNT,0.0027,20,212,lmcount,,34,8,2,24,0,,,,,,
Blocksworld-HPDDL,pfile_005,LMCOUNT-update,0.0038,20,168,lmcount,,34,8,2,24,0,,,,,,
Blocksworld-HPDDL,pfile_040,LMCOUNT-update,1.1253,209,17162,lmcount,,242,43,2,197,0,,,,,,
Blocksworld-HPDDL,pfile_020,LMCOUNT,0.0616,86,6752,lmcount,,120,23,2,95,0,,,,,,
Blocksworld-HPDDL,pfile_020,LMCOUNT-update,0.1082,86,2870,lmcount,,120,23,2,95,0,,,,,,
Blocksworld-HPDDL,pfile_015,LMCOUNT,0.0593,64,6449,lmcount,,92,18,2,72,0,,,,,,
Blocksworld-HPDDL,pfile_015,LMCOUNT-update,0.0648,70,1813,lmcount,,92,18,2,72,0,,,,,,
Blocksworld-HPDDL,pfile_055,LMCOUNT,16.745,256,1290891,lmcount,,328,58,2,268,0,,,,,,
Blocksworld-HPDDL,pfile_055,LMCOUNT-update,2.8941,274,32667,lmcount,,328,58,2,268,0,,,,,,
Blocksworld-HPDDL,pfile_010,LMCOUNT,0.0108,43,1030,lmcount,,63,13,2,48,0,,,,,,
Blocksworld-HPDDL,pfile_010,LMCOUNT-update,0.0181,45,714,lmcount,,63,13,2,48,0,,,,,,
Childsnack,p01,LMCOUNT-update,22.4052,49,264594,lmcount,,48,11,1,36,0,,,,,,
Depots,p12,LMCOUNT,0.0311,95,1722,lmcount,,132,33,1,98,0,,,,,,
Depots,p12,LMCOUNT-update,0.0649,95,1597,lmcount,,132,33,1,98,0,,,,,,
Depots,p13,LMCOUNT,0.0079,44,373,lmcount,,76,20,1,55,0,,,,,,
