domain,experiment_name,coverage,avg_solution_size
AssemblyHierarchical,TDG,4,6.00
AssemblyHierarchical,NOVELTY-TDG,4,6.00
Barman-BDI,TDG,9,36.78
Barman-BDI,NOVELTY-TDG,10,41.60
Blocksworld-GTOHP,TDG,23,216.04
Blocksworld-GTOHP,NOVELTY-TDG,18,172.50
Blocksworld-HPDDL,TDG,6,84.00
Blocksworld-HPDDL,NOVELTY-TDG,6,83.00
Childsnack,TDG,10,62.50
Childsnack,NOVELTY-TDG,10,62.50
Depots,TDG,23,74.74
Depots,NOVELTY-TDG,23,74.74
Factories-simple,TDG,6,168.83
Factories-simple,NOVELTY-TDG,6,168.83
Freecell-Learned-ECAI-16,TDG,1,85.00
Hiking,TDG,20,63.65
Hiking,NOVELTY-TDG,19,61.79
Logistics-Learned-ECAI-16,TDG,64,306.23
Logistics-Learned-ECAI-16,NOVELTY-TDG,64,311.30
Minecraft-Regular,TDG,41,178.76
Minecraft-Regular,NOVELTY-TDG,42,199.88
Monroe-Fully-Observable,TDG,20,27.80
Monroe-Fully-Observable,NOVELTY-TDG,20,27.35
Monroe-Partially-Observable,TDG,5,12.40
Monroe-Partially-Observable,NOVELTY-TDG,4,9.00
Multiarm-Blocksworld,TDG,11,42.64
Multiarm-Blocksworld,NOVELTY-TDG,12,47.00
Robot,TDG,11,13.73
Robot,NOVELTY-TDG,11,14.27
Rover-GTOHP,TDG,20,145.55
Rover-GTOHP,NOVELTY-TDG,20,150.35
Satellite-GTOHP,TDG,20,240.60
Satellite-GTOHP,NOVELTY-TDG,19,216.00
Snake,TDG,4,49.75
Snake,NOVELTY-TDG,4,51.75
Towers,TDG,15,4367.93
Towers,NOVELTY-TDG,14,2339.43
Transport,TDG,40,167.72
Transport,NOVELTY-TDG,40,168.68
