domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
AssemblyHierarchical,genericLinearProblem_depth25,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth25,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth18,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth18,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth15,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth15,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth13,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth13,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,TDG,0.0445,5,11550,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-TDG,0.0676,5,11549,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth12,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth12,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth20,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth20,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth22,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth22,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth26,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth26,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth11,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth11,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth24,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth24,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth07,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth07,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth17,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth17,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth06,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth06,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth23,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth23,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth28,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth28,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,TDG,0.0013,3,270,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-TDG,0.0016,3,148,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,TDG,1.8268,7,392106,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,NOVELTY-TDG,2.7647,7,392105,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth09,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth09,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth29,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth29,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth08,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth08,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth16,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth16,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth27,TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth27,NOVELTY-TDG,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth10,TDG,,,,,,,,,,,,,,,,
