domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
AssemblyHierarchical,genericLinearProblem_depth25,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth25,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth25,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth12,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth12,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth27,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth27,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,LMCOUNTu,7.2623,21,562987,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,NOVELTY-LMCOUNTu,4.3033,25,272643,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth29,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth29,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,LMCOUNTu,0.0026,5,185,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-LMCOUNTu,0.0033,5,186,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth06,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth06,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth21,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth21,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth07,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth07,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth24,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth24,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth26,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth26,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth13,LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth13,NOVELTY-LMCOUNTu,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth20,LMCOUNTu,,,,,,,,,,,,,,,,
