domain,experiment_name,total_problems,coverage,avg_solution_size,avg_expanded_nodes
Multiarm-Blocksworld,Novelty-lmonly_bu-tdg-f-t,29,24,171.58,561735.25
Robot,Novelty-lm-tdg-f-t,20,11,13.64,12519.00
Robot,lmcount,20,11,13.64,12616.18
Robot,Novelty-lm-f-t,20,11,12.36,11445.82
Robot,lmcount-tdg,20,11,13.64,13140.00
Robot,TDG-satis,20,11,13.64,13140.00
Robot,Novelty-tdg-f-t,20,11,13.64,12616.18
Robot,Novelty-tdg-bid-f-t,20,11,13.64,12616.18
Robot,Novelty-bid-tdg-f-t,20,11,12.36,11445.82
Robot,Novelty-lmonly_bu-tdg-f-t,20,11,12.36,11445.82
Rover-GTOHP,lmcount,15,15,118.00,2311.07
Rover-GTOHP,Novelty-lm-f-t,15,15,98.60,254932.40
Rover-GTOHP,Novelty-lm-tdg-f-t,15,15,117.93,2385.93
Rover-GTOHP,lmcount-tdg,15,15,108.93,1107.60
Rover-GTOHP,Novelty-tdg-f-t,15,15,118.00,2311.07
Rover-GTOHP,TDG-satis,15,15,110.20,1177.47
Rover-GTOHP,Novelty-bid-tdg-f-t,15,15,98.60,254932.40
Rover-GTOHP,Novelty-tdg-bid-f-t,15,15,118.00,2311.07
Rover-GTOHP,Novelty-lmonly_bu-tdg-f-t,15,15,98.60,254932.40
Satellite-GTOHP,lmcount,15,5,29.40,550.60
Satellite-GTOHP,Novelty-lm-f-t,15,12,87.42,78531.42
Satellite-GTOHP,Novelty-lm-tdg-f-t,15,5,28.60,523.20
Satellite-GTOHP,lmcount-tdg,15,12,83.50,2597.83
Satellite-GTOHP,Novelty-tdg-f-t,15,5,29.40,550.60
Satellite-GTOHP,TDG-satis,15,15,135.33,6624.40
Satellite-GTOHP,Novelty-bid-tdg-f-t,15,12,87.42,78757.42
Satellite-GTOHP,Novelty-tdg-bid-f-t,15,5,29.40,550.60
Satellite-GTOHP,Novelty-lmonly_bu-tdg-f-t,15,12,87.42,78531.42
Snake,lmcount,10,4,49.75,2805419.50
Snake,Novelty-lm-f-t,10,3,47.00,2026282.67
Snake,Novelty-lm-tdg-f-t,10,3,36.67,925175.67
Snake,lmcount-tdg,10,3,36.67,950656.67
Snake,Novelty-tdg-f-t,10,4,49.75,2805419.50
Snake,TDG-satis,10,4,49.75,3632608.25
Snake,Novelty-bid-tdg-f-t,10,2,32.00,29638.00
