domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Barman-BDI,pfile11,Novelty-bid-tdg-f-t,9.863,98,183542,,,,,,,,,,,,,
Barman-BDI,pfile11,Novelty-tdg-bid-f-t,24.6976,100,421887,,,,,,,,,,,,,
Barman-BDI,pfile11,Novelty-lmonly_bu-tdg-f-t,28.3139,105,549692,,,,,,,,,,,,,
Barman-BDI,pfile05,Novelty-bid-tdg-f-t,1.7603,47,51727,,,,,,,,,,,,,
Barman-BDI,pfile05,Novelty-tdg-bid-f-t,3.3605,50,95866,,,,,,,,,,,,,
Barman-BDI,pfile05,Novelty-lmonly_bu-tdg-f-t,3.4505,49,106202,,,,,,,,,,,,,
Barman-BDI,pfile12,Novelty-bid-tdg-f-t,13.3709,82,258934,,,,,,,,,,,,,
Barman-BDI,pfile12,Novelty-tdg-bid-f-t,15.9372,79,276895,,,,,,,,,,,,,
Barman-BDI,pfile12,Novelty-lmonly_bu-tdg-f-t,34.5333,76,674903,,,,,,,,,,,,,
Barman-BDI,pfile10,Novelty-bid-tdg-f-t,0.7791,44,12990,,,,,,,,,,,,,
Barman-BDI,pfile10,Novelty-tdg-bid-f-t,10.8177,50,220234,,,,,,,,,,,,,
Barman-BDI,pfile10,Novelty-lmonly_bu-tdg-f-t,1.903,45,41347,,,,,,,,,,,,,
Barman-BDI,pfile13,Novelty-bid-tdg-f-t,52.5924,150,739821,,,,,,,,,,,,,
Barman-BDI,pfile13,Novelty-tdg-bid-f-t,68.8827,153,870751,,,,,,,,,,,,,
Barman-BDI,pfile13,Novelty-lmonly_bu-tdg-f-t,125.6413,152,1833859,,,,,,,,,,,,,
Barman-BDI,pfile15,Novelty-bid-tdg-f-t,206.8433,176,2091915,,,,,,,,,,,,,
