domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Blocksworld-GTOHP,p19,Novelty-tdg-f-t,0.1248,248,1433,,,,,,,,,,,,,
Blocksworld-GTOHP,p19,TDG-satis,0.0628,241,2095,,,,,,,,,,,,,
Blocksworld-GTOHP,p08,Novelty-tdg-f-t,0.0326,130,664,,,,,,,,,,,,,
Blocksworld-GTOHP,p08,TDG-satis,0.0171,130,834,,,,,,,,,,,,,
Blocksworld-GTOHP,p11,Novelty-tdg-f-t,0.0542,182,908,,,,,,,,,,,,,
Blocksworld-GTOHP,p11,TDG-satis,0.0249,152,747,,,,,,,,,,,,,
Blocksworld-GTOHP,p03,Novelty-tdg-f-t,0.0049,38,168,,,,,,,,,,,,,
Blocksworld-GTOHP,p03,TDG-satis,0.0035,38,170,,,,,,,,,,,,,
Blocksworld-GTOHP,p24,Novelty-tdg-f-t,3.4479,1008,14250,,,,,,,,,,,,,
Blocksworld-GTOHP,p24,TDG-satis,128.5771,1005,4395558,,,,,,,,,,,,,
Blocksworld-GTOHP,p02,Novelty-tdg-f-t,0.005,34,178,,,,,,,,,,,,,
Blocksworld-GTOHP,p02,TDG-satis,0.0033,34,188,,,,,,,,,,,,,
Blocksworld-GTOHP,p28,Novelty-tdg-f-t,252.7152,4148,226947,,,,,,,,,,,,,
Blocksworld-GTOHP,p28,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-GTOHP,p07,Novelty-tdg-f-t,0.0231,90,660,,,,,,,,,,,,,
Blocksworld-GTOHP,p07,TDG-satis,0.0138,83,945,,,,,,,,,,,,,
Blocksworld-GTOHP,p25,Novelty-tdg-f-t,6.8739,1315,19380,,,,,,,,,,,,,
Blocksworld-GTOHP,p25,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-GTOHP,p05,Novelty-tdg-f-t,0.0166,78,476,,,,,,,,,,,,,
Blocksworld-GTOHP,p05,TDG-satis,0.0127,72,719,,,,,,,,,,,,,
Blocksworld-GTOHP,p09,Novelty-tdg-f-t,0.0295,116,619,,,,,,,,,,,,,
Blocksworld-GTOHP,p09,TDG-satis,0.017,116,934,,,,,,,,,,,,,
Blocksworld-GTOHP,p15,Novelty-tdg-f-t,0.0718,186,1090,,,,,,,,,,,,,
