domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Blocksworld-GTOHP,p12,TDG-satis,0.0101,149,1021,,,,,,,,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-yep,0.0719,149,1000,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-satistdg,0.0367,149,1014,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-lmcount-update,0.0591,151,790,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p13,LMCOUNT-update,0.4638,144,12058,lmcount,,196,73,1,122,0,,,,,,
Blocksworld-GTOHP,p13,TDG-satis,0.2543,144,24734,,,,,,,,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-yep,1.4866,144,24577,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-satistdg,0.7535,144,24584,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-lmcount-update,0.7122,144,12058,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p06,LMCOUNT-update,0.019,83,619,lmcount,,107,41,1,65,0,,,,,,
Blocksworld-GTOHP,p06,TDG-satis,0.0087,78,1028,,,,,,,,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-yep,0.0477,78,1022,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-satistdg,0.0229,78,1021,novelty_satistdg,,,,,,,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-lmcount-update,0.0291,83,619,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p04,LMCOUNT-update,0.0123,61,446,lmcount,,77,29,1,47,0,,,,,,
Blocksworld-GTOHP,p04,TDG-satis,0.0026,61,277,,,,,,,,,,,,,
Blocksworld-GTOHP,p04,NOVELTY-yep,0.0188,61,272,novelty_yep,,,,,,,,,,,,
Blocksworld-GTOHP,p04,NOVELTY-satistdg,0.0064,61,277,novelty_satistdg,,,,,,,,,,,,
