domain,experiment_name,coverage,avg_solution_size
AssemblyHierarchical,LMCOUNT,2,4.00
AssemblyHierarchical,NOVELTY-FT,2,4.00
AssemblyHierarchical,NOVELTY-lazyFT,2,4.00
AssemblyHierarchical,NOVELTY-lmcount,2,4.00
Barman-BDI,LMCOUNT,10,37.10
Barman-BDI,NOVELTY-lazyFT,6,29.83
Barman-BDI,NOVELTY-lmcount,10,41.10
Barman-BDI,NOVELTY-FT,3,19.33
Blocksworld-GTOHP,LMCOUNT,15,102.47
Blocksworld-GTOHP,NOVELTY-FT,12,97.92
Blocksworld-GTOHP,NOVELTY-lazyFT,14,122.36
Blocksworld-GTOHP,NOVELTY-lmcount,14,124.64
Blocksworld-HPDDL,LMCOUNT,11,149.91
Blocksworld-HPDDL,NOVELTY-lmcount,11,145.18
Blocksworld-HPDDL,NOVELTY-FT,3,43.00
Blocksworld-HPDDL,NOVELTY-lazyFT,3,43.00
Childsnack,LMCOUNT,5,55.00
Childsnack,NOVELTY-lmcount,5,55.00
Depots,LMCOUNT,15,58.67
Depots,NOVELTY-FT,15,57.07
Depots,NOVELTY-lazyFT,15,57.07
Depots,NOVELTY-lmcount,15,57.33
Factories-simple,LMCOUNT,6,269.83
Factories-simple,NOVELTY-lazyFT,5,111.40
Factories-simple,NOVELTY-lmcount,6,269.83
Factories-simple,NOVELTY-FT,4,60.50
Hiking,LMCOUNT,5,49.00
Hiking,NOVELTY-lmcount,5,49.00
Hiking,NOVELTY-FT,1,25.00
Hiking,NOVELTY-lazyFT,1,25.00
Logistics-Learned-ECAI-16,LMCOUNT,10,57.30
Logistics-Learned-ECAI-16,NOVELTY-FT,10,59.10
Logistics-Learned-ECAI-16,NOVELTY-lazyFT,10,59.10
Logistics-Learned-ECAI-16,NOVELTY-lmcount,10,57.30
Minecraft-Regular,LMCOUNT,12,83.25
Minecraft-Regular,NOVELTY-FT,12,83.25
Minecraft-Regular,NOVELTY-lazyFT,12,83.25
Minecraft-Regular,NOVELTY-lmcount,12,83.25
Monroe-Fully-Observable,LMCOUNT,10,17.90
Monroe-Fully-Observable,NOVELTY-lazyFT,10,18.70
Monroe-Fully-Observable,NOVELTY-lmcount,10,17.90
Monroe-Fully-Observable,NOVELTY-FT,1,2.00
Monroe-Partially-Observable,LMCOUNT,5,10.60
Monroe-Partially-Observable,NOVELTY-FT,1,5.00
Monroe-Partially-Observable,NOVELTY-lazyFT,4,10.75
Monroe-Partially-Observable,NOVELTY-lmcount,4,10.25
Multiarm-Blocksworld,LMCOUNT,19,216.74
Multiarm-Blocksworld,NOVELTY-lmcount,19,210.11
Multiarm-Blocksworld,NOVELTY-FT,4,33.75
Multiarm-Blocksworld,NOVELTY-lazyFT,4,32.75
Robot,LMCOUNT,12,23.83
Robot,NOVELTY-lmcount,12,23.33
Robot,NOVELTY-FT,11,12.36
Robot,NOVELTY-lazyFT,11,12.36
Rover-GTOHP,LMCOUNT,10,64.90
Rover-GTOHP,NOVELTY-FT,8,43.12
Rover-GTOHP,NOVELTY-lazyFT,8,50.88
Rover-GTOHP,NOVELTY-lmcount,10,78.00
Satellite-GTOHP,LMCOUNT,12,85.00
Satellite-GTOHP,NOVELTY-lmcount,12,84.00
Satellite-GTOHP,NOVELTY-lazyFT,6,31.83
Satellite-GTOHP,NOVELTY-FT,4,22.50
Snake,LMCOUNT,2,24.50
Snake,NOVELTY-FT,2,24.50
Snake,NOVELTY-lazyFT,2,24.50
Snake,NOVELTY-lmcount,2,24.50
Towers,LMCOUNT,11,371.18
Towers,NOVELTY-FT,11,371.18
Towers,NOVELTY-lazyFT,11,371.18
Towers,NOVELTY-lmcount,11,371.18
Transport,LMCOUNT,2,26.50
Transport,NOVELTY-FT,9,22.78
Transport,NOVELTY-lazyFT,4,16.50
Transport,NOVELTY-lmcount,2,26.50
