domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
AssemblyHierarchical,genericLinearProblem_depth02,LMCOUNT,1.6637,5,155660,lmcount,,21,7,3,11,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-FT,2.8726,5,416092,novelty_ft,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-lazyFT,0.2823,5,55600,novelty_lazyft,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-lmcount,0.2717,5,17468,novelty_lmcount,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,LMCOUNT,0.0064,3,327,lmcount,,16,6,3,7,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-FT,0.0044,3,976,novelty_ft,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-lazyFT,0.0024,3,536,novelty_lazyft,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-lmcount,0.0038,3,148,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile05,LMCOUNT,1.2523,39,113071,lmcount,,69,4,1,64,0,,,,,,
Barman-BDI,pfile05,NOVELTY-lazyFT,46.9941,41,2100653,novelty_lazyft,,,,,,,,,,,,
Barman-BDI,pfile05,NOVELTY-lmcount,0.4778,39,18378,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile10,LMCOUNT,0.6347,40,56220,lmcount,,114,4,1,109,0,,,,,,
Barman-BDI,pfile10,NOVELTY-lmcount,0.4899,44,12296,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile03,LMCOUNT,0.7932,44,72588,lmcount,,60,4,1,55,0,,,,,,
Barman-BDI,pfile03,NOVELTY-lazyFT,34.0549,48,1759252,novelty_lazyft,,,,,,,,,,,,
Barman-BDI,pfile03,NOVELTY-lmcount,0.3168,50,13417,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile06,LMCOUNT,1.2596,58,109387,lmcount,,78,5,1,72,0,,,,,,
Barman-BDI,pfile06,NOVELTY-lmcount,0.6904,66,23725,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile02,LMCOUNT,0.1151,26,11024,lmcount,,44,3,1,40,0,,,,,,
Barman-BDI,pfile02,NOVELTY-FT,6.9441,26,146660,novelty_ft,,,,,,,,,,,,
Barman-BDI,pfile02,NOVELTY-lazyFT,1.0681,28,86852,novelty_lazyft,,,,,,,,,,,,
Barman-BDI,pfile02,NOVELTY-lmcount,0.0551,26,2595,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile04,LMCOUNT,0.1785,27,16844,lmcount,,60,3,1,56,0,,,,,,
Barman-BDI,pfile04,NOVELTY-lazyFT,4.8803,29,290252,novelty_lazyft,,,,,,,,,,,,
Barman-BDI,pfile04,NOVELTY-lmcount,0.0837,32,3323,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile07,LMCOUNT,0.2374,22,22088,lmcount,,75,3,1,71,0,,,,,,
Barman-BDI,pfile07,NOVELTY-FT,34.8022,23,379041,novelty_ft,,,,,,,,,,,,
Barman-BDI,pfile07,NOVELTY-lazyFT,4.7262,24,235672,novelty_lazyft,,,,,,,,,,,,
Barman-BDI,pfile07,NOVELTY-lmcount,0.1281,23,4013,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile09,LMCOUNT,1.7706,62,152476,lmcount,,102,5,1,96,0,,,,,,
Barman-BDI,pfile09,NOVELTY-lmcount,1.2797,69,37371,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile08,LMCOUNT,0.4606,44,41609,lmcount,,92,4,1,87,0,,,,,,
Barman-BDI,pfile08,NOVELTY-lmcount,0.3011,48,8795,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile01,LMCOUNT,0.0241,9,2229,lmcount,,30,2,1,27,0,,,,,,
Barman-BDI,pfile01,NOVELTY-FT,0.3044,9,9773,novelty_ft,,,,,,,,,,,,
Barman-BDI,pfile01,NOVELTY-lazyFT,0.0152,9,1840,novelty_lazyft,,,,,,,,,,,,
Barman-BDI,pfile01,NOVELTY-lmcount,0.0108,14,569,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p12,LMCOUNT,0.0183,149,736,lmcount,,214,70,1,143,0,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-FT,7.0162,170,97424,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-lazyFT,1.5781,170,70878,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-lmcount,0.0605,170,1648,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p13,LMCOUNT,0.0175,144,713,lmcount,,216,73,1,142,0,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-FT,7.0725,171,68594,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-lazyFT,0.2494,175,10448,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-lmcount,0.0346,175,647,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p06,LMCOUNT,0.0086,78,384,lmcount,,118,41,1,76,0,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-FT,0.0855,87,2247,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-lazyFT,0.0187,87,1149,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-lmcount,0.0115,87,314,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p04,LMCOUNT,0.0079,61,389,lmcount,,84,29,1,54,0,,,,,,
Blocksworld-GTOHP,p04,NOVELTY-FT,0.0941,63,3311,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p04,NOVELTY-lazyFT,0.0451,96,3865,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p04,NOVELTY-lmcount,0.0216,97,1034,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p01,LMCOUNT,0.0032,20,96,lmcount,,37,13,1,23,0,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-FT,0.0015,21,113,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-lazyFT,0.001,21,107,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-lmcount,0.002,21,90,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p14,LMCOUNT,0.0257,163,1182,lmcount,,232,76,1,155,0,,,,,,
Blocksworld-GTOHP,p14,NOVELTY-lazyFT,8.781,239,332270,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p14,NOVELTY-lmcount,2.7485,240,88477,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p08,LMCOUNT,0.0142,118,672,lmcount,,160,55,1,104,0,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-FT,11.0588,155,187082,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-lazyFT,1.3415,153,75038,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-lmcount,0.3273,150,13413,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p11,LMCOUNT,0.0183,152,821,lmcount,,208,69,1,138,0,,,,,,
Blocksworld-GTOHP,p11,NOVELTY-FT,1.9678,165,25609,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p11,NOVELTY-lazyFT,0.1888,164,8452,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p11,NOVELTY-lmcount,58.9778,179,2034309,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p03,LMCOUNT,0.0044,38,181,lmcount,,59,20,1,38,0,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-FT,0.007,38,462,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-lazyFT,0.0038,41,395,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-lmcount,0.0072,41,383,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p02,LMCOUNT,0.0046,34,176,lmcount,,56,21,1,34,0,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-FT,0.0073,39,445,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-lazyFT,0.0027,39,287,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-lmcount,0.0037,39,142,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p07,LMCOUNT,0.0098,83,448,lmcount,,112,37,1,74,0,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-FT,0.6879,85,15815,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-lazyFT,0.1056,116,7268,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-lmcount,0.3063,116,14357,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p05,LMCOUNT,0.0081,70,364,lmcount,,104,39,1,64,0,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-FT,0.2359,76,7873,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-lazyFT,0.0399,80,3032,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-lmcount,0.0196,80,784,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p09,LMCOUNT,0.0126,102,531,lmcount,,154,51,1,102,0,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-FT,0.9142,105,19079,novelty_ft,,,,,,,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-lazyFT,0.7803,104,44626,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-lmcount,0.1228,121,4862,novelty_lmcount,,,,,,,,,,,,
Blocksworld-GTOHP,p15,LMCOUNT,0.0317,179,992,lmcount,,256,86,1,169,0,,,,,,
Blocksworld-GTOHP,p10,LMCOUNT,0.0225,146,1171,lmcount,,194,65,1,128,0,,,,,,
Blocksworld-GTOHP,p10,NOVELTY-lazyFT,4.8932,228,222408,novelty_lazyft,,,,,,,,,,,,
Blocksworld-GTOHP,p10,NOVELTY-lmcount,0.2269,229,7628,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_045,LMCOUNT,0.2031,230,19728,lmcount,,484,136,2,346,0,,,,,,
Blocksworld-HPDDL,pfile_045,NOVELTY-lmcount,0.9376,226,13547,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_050,LMCOUNT,0.2888,263,28587,lmcount,,539,151,2,386,0,,,,,,
Blocksworld-HPDDL,pfile_050,NOVELTY-lmcount,1.2498,251,16281,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_025,LMCOUNT,0.059,126,5612,lmcount,,265,75,2,188,0,,,,,,
Blocksworld-HPDDL,pfile_025,NOVELTY-lmcount,0.1832,126,4325,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_030,LMCOUNT,0.0932,145,9047,lmcount,,316,89,2,225,0,,,,,,
Blocksworld-HPDDL,pfile_030,NOVELTY-lmcount,0.2592,135,5144,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_035,LMCOUNT,0.1241,181,12088,lmcount,,378,106,2,270,0,,,,,,
Blocksworld-HPDDL,pfile_035,NOVELTY-lmcount,0.4219,173,7827,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,LMCOUNT,0.0041,20,194,lmcount,,54,17,2,35,0,,,,,,
Blocksworld-HPDDL,pfile_005,NOVELTY-FT,0.0046,20,385,novelty_ft,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,NOVELTY-lazyFT,0.0032,20,384,novelty_lazyft,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,NOVELTY-lmcount,0.0036,20,153,novelty_lmcount,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_040,LMCOUNT,0.1719,209,17149,lmcount,,416,115,2,299,0,,,,,,
Blocksworld-HPDDL,pfile_040,NOVELTY-lmcount,0.7146,205,11267,novelty_lmcount,,,,,,,,,,,,
