domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
AssemblyHierarchical,genericLinearProblem_depth07,BLIND,,,,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY,1.9218,6,415164,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,BLIND,1.381,6,563052,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,LMCOUNT,1.6308,6,155661,lmcount,,21,7,3,11,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY,0.0024,4,768,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,BLIND,0.0013,4,772,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,LMCOUNT,0.0061,4,312,lmcount,,16,6,3,7,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth06,BLIND,,,,,,,,,,,,,,,,
Barman-BDI,pfile02,NOVELTY,5.1466,27,120672,,,,,,,,,,,,,
Barman-BDI,pfile02,BLIND,19.5325,24,2813481,,,,,,,,,,,,,
Barman-BDI,pfile02,LMCOUNT,2.5517,24,214274,lmcount,,44,3,1,40,0,,,,,,
Barman-BDI,pfile04,NOVELTY,32.849,28,486326,,,,,,,,,,,,,
Barman-BDI,pfile04,LMCOUNT,29.4825,23,1487502,lmcount,,60,3,1,56,0,,,,,,
Barman-BDI,pfile07,NOVELTY,32.6007,24,377958,,,,,,,,,,,,,
Barman-BDI,pfile01,NOVELTY,0.2786,10,9671,,,,,,,,,,,,,
Barman-BDI,pfile01,BLIND,0.0517,10,20466,,,,,,,,,,,,,
Barman-BDI,pfile01,LMCOUNT,0.1002,10,10318,lmcount,,30,2,1,27,0,,,,,,
Blocksworld-GTOHP,p12,NOVELTY,6.7106,171,97424,,,,,,,,,,,,,
Blocksworld-GTOHP,p12,BLIND,8.799,150,1809416,,,,,,,,,,,,,
Blocksworld-GTOHP,p12,LMCOUNT,25.8181,150,1433056,lmcount,,214,70,1,143,0,,,,,,
Blocksworld-GTOHP,p13,NOVELTY,3.9469,172,40115,,,,,,,,,,,,,
Blocksworld-GTOHP,p13,BLIND,3.3721,145,805970,,,,,,,,,,,,,
Blocksworld-GTOHP,p13,LMCOUNT,8.2735,145,509560,lmcount,,216,73,1,142,0,,,,,,
Blocksworld-GTOHP,p06,NOVELTY,0.0798,88,2247,,,,,,,,,,,,,
Blocksworld-GTOHP,p06,BLIND,0.0585,79,26310,,,,,,,,,,,,,
Blocksworld-GTOHP,p06,LMCOUNT,0.218,79,20204,lmcount,,118,41,1,76,0,,,,,,
Blocksworld-GTOHP,p04,NOVELTY,0.0778,64,2919,,,,,,,,,,,,,
Blocksworld-GTOHP,p04,BLIND,0.0076,62,3066,,,,,,,,,,,,,
Blocksworld-GTOHP,p04,LMCOUNT,0.0329,62,2867,lmcount,,84,29,1,54,0,,,,,,
Blocksworld-GTOHP,p01,NOVELTY,0.0012,22,113,,,,,,,,,,,,,
Blocksworld-GTOHP,p01,BLIND,0.0003,21,126,,,,,,,,,,,,,
Blocksworld-GTOHP,p01,LMCOUNT,0.0038,21,122,lmcount,,37,13,1,23,0,,,,,,
Blocksworld-GTOHP,p14,NOVELTY,40.6051,171,324922,,,,,,,,,,,,,
Blocksworld-GTOHP,p14,BLIND,2.8175,164,621427,,,,,,,,,,,,,
Blocksworld-GTOHP,p14,LMCOUNT,5.0266,164,318874,lmcount,,232,76,1,155,0,,,,,,
Blocksworld-GTOHP,p08,NOVELTY,9.7192,156,178070,,,,,,,,,,,,,
Blocksworld-GTOHP,p08,BLIND,1.3836,119,372557,,,,,,,,,,,,,
Blocksworld-GTOHP,p08,LMCOUNT,4.2575,119,283322,lmcount,,160,55,1,104,0,,,,,,
Blocksworld-GTOHP,p11,NOVELTY,1.202,166,16839,,,,,,,,,,,,,
Blocksworld-GTOHP,p11,BLIND,4.1584,153,903813,,,,,,,,,,,,,
Blocksworld-GTOHP,p11,LMCOUNT,6.7286,153,414464,lmcount,,208,69,1,138,0,,,,,,
Blocksworld-GTOHP,p03,NOVELTY,0.0066,39,462,,,,,,,,,,,,,
Blocksworld-GTOHP,p03,BLIND,0.0011,39,498,,,,,,,,,,,,,
Blocksworld-GTOHP,p03,LMCOUNT,0.0069,39,463,lmcount,,59,20,1,38,0,,,,,,
Blocksworld-GTOHP,p02,NOVELTY,0.0065,40,445,,,,,,,,,,,,,
Blocksworld-GTOHP,p02,BLIND,0.0019,35,897,,,,,,,,,,,,,
Blocksworld-GTOHP,p02,LMCOUNT,0.0118,35,799,lmcount,,56,21,1,34,0,,,,,,
Blocksworld-GTOHP,p07,NOVELTY,0.5861,86,14454,,,,,,,,,,,,,
Blocksworld-GTOHP,p07,BLIND,0.0466,84,18322,,,,,,,,,,,,,
Blocksworld-GTOHP,p07,LMCOUNT,0.1631,84,14422,lmcount,,112,37,1,74,0,,,,,,
Blocksworld-GTOHP,p05,NOVELTY,0.2154,77,7833,,,,,,,,,,,,,
Blocksworld-GTOHP,p05,BLIND,0.1219,71,50368,,,,,,,,,,,,,
Blocksworld-GTOHP,p05,LMCOUNT,0.4903,71,43169,lmcount,,104,39,1,64,0,,,,,,
Blocksworld-GTOHP,p09,NOVELTY,0.6908,106,16044,,,,,,,,,,,,,
Blocksworld-GTOHP,p09,BLIND,0.2509,103,100678,,,,,,,,,,,,,
Blocksworld-GTOHP,p09,LMCOUNT,0.843,103,69583,lmcount,,154,51,1,102,0,,,,,,
Blocksworld-GTOHP,p10,BLIND,23.7006,147,3214836,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_025,LMCOUNT,18.224,118,1959883,lmcount,,265,75,2,188,0,,,,,,
Blocksworld-HPDDL,pfile_005,NOVELTY,0.0039,20,385,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,BLIND,0.0012,20,612,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,LMCOUNT,0.0058,20,362,lmcount,,54,17,2,35,0,,,,,,
Blocksworld-HPDDL,pfile_020,LMCOUNT,4.9881,86,533154,lmcount,,209,60,2,147,0,,,,,,
Blocksworld-HPDDL,pfile_015,NOVELTY,4.1508,66,163452,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_015,LMCOUNT,0.5016,64,56698,lmcount,,160,46,2,112,0,,,,,,
Blocksworld-HPDDL,pfile_010,NOVELTY,0.106,43,6137,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_010,BLIND,0.6628,43,306928,,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_010,LMCOUNT,0.0447,43,4745,lmcount,,104,30,2,72,0,,,,,,
Depots,p12,NOVELTY,1.9628,96,21661,,,,,,,,,,,,,
Depots,p12,LMCOUNT,0.527,96,50385,lmcount,,143,33,1,109,0,,,,,,
