domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-HFT1,6.4037,5,416092,novelty_hft1,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-HFT2,1.5875,5,111892,novelty_hft2,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-HFT1,0.0109,3,976,novelty_hft1,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-HFT2,0.006,3,311,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile05,NOVELTY-HFT2,5.1136,39,32207,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile10,NOVELTY-HFT2,5.591,40,19494,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile03,NOVELTY-HFT2,3.0874,44,23745,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile06,NOVELTY-HFT2,5.3388,64,29177,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile02,NOVELTY-HFT1,7.6607,27,91093,novelty_hft1,,,,,,,,,,,,
Barman-BDI,pfile02,NOVELTY-HFT2,0.386,26,4086,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile04,NOVELTY-HFT1,32.8631,29,256190,novelty_hft1,,,,,,,,,,,,
Barman-BDI,pfile04,NOVELTY-HFT2,0.8269,27,6124,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile07,NOVELTY-HFT1,48.5236,23,298396,novelty_hft1,,,,,,,,,,,,
Barman-BDI,pfile07,NOVELTY-HFT2,1.3617,22,7706,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile09,NOVELTY-HFT2,10.701,62,42972,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile08,NOVELTY-HFT2,3.3083,44,14886,novelty_hft2,,,,,,,,,,,,
Barman-BDI,pfile01,NOVELTY-HFT1,0.5007,9,7863,novelty_hft1,,,,,,,,,,,,
Barman-BDI,pfile01,NOVELTY-HFT2,0.0653,9,927,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-HFT1,13.6596,170,102471,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p12,NOVELTY-HFT2,0.215,170,1382,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-HFT1,9.7784,154,48070,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p13,NOVELTY-HFT2,0.1726,175,715,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-HFT1,0.2246,87,3324,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p06,NOVELTY-HFT2,0.0347,87,346,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p04,NOVELTY-HFT1,0.1693,63,2655,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p04,NOVELTY-HFT2,0.0419,96,778,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-HFT1,0.0035,21,122,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p01,NOVELTY-HFT2,0.0031,21,95,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p14,NOVELTY-HFT2,1.7805,234,14824,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-HFT1,10.2099,123,87354,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p08,NOVELTY-HFT2,0.4258,150,7197,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p11,NOVELTY-HFT1,4.5239,165,31631,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-HFT1,0.0152,38,440,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p03,NOVELTY-HFT2,0.0141,38,413,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-HFT1,0.018,39,531,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p02,NOVELTY-HFT2,0.0071,39,158,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-HFT1,0.8329,85,9385,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p07,NOVELTY-HFT2,0.7006,109,14527,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-HFT1,0.419,76,7557,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p05,NOVELTY-HFT2,0.044,76,835,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-HFT1,1.2391,105,13302,novelty_hft1,,,,,,,,,,,,
Blocksworld-GTOHP,p09,NOVELTY-HFT2,0.2248,123,3456,novelty_hft2,,,,,,,,,,,,
Blocksworld-GTOHP,p10,NOVELTY-HFT2,0.7264,229,5402,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_045,NOVELTY-HFT2,7.2201,230,24468,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_050,NOVELTY-HFT2,11.6807,263,33603,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_025,NOVELTY-HFT2,0.7774,126,5813,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_030,NOVELTY-HFT2,1.7172,145,11044,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_035,NOVELTY-HFT2,2.9276,181,13945,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,NOVELTY-HFT1,0.0118,20,399,novelty_hft1,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_005,NOVELTY-HFT2,0.0067,20,198,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_040,NOVELTY-HFT2,4.7721,209,19621,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_020,NOVELTY-HFT1,54.5554,86,660329,novelty_hft1,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_020,NOVELTY-HFT2,0.3728,88,3867,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_015,NOVELTY-HFT1,4.4618,66,70551,novelty_hft1,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_015,NOVELTY-HFT2,0.1392,68,1892,novelty_hft2,,,,,,,,,,,,
Blocksworld-HPDDL,pfile_055,NOVELTY-HFT2,17.9215,274,48722,novelty_hft2,,,,,,,,,,,,
