domain,experiment_name,coverage,avg_solution_size
AssemblyHierarchical,NOVELTY-HFT1,2,4.00
AssemblyHierarchical,NOVELTY-HFT2,2,4.00
Barman-BDI,NOVELTY-HFT2,10,37.70
Barman-BDI,NOVELTY-HFT1,4,22.00
Blocksworld-GTOHP,NOVELTY-HFT1,12,93.83
Blocksworld-GTOHP,NOVELTY-HFT2,13,119.00
Blocksworld-HPDDL,NOVELTY-HFT2,11,149.91
Blocksworld-HPDDL,NOVELTY-HFT1,4,53.75
Childsnack,NOVELTY-HFT2,5,55.00
Depots,NOVELTY-HFT1,15,57.07
Depots,NOVELTY-HFT2,15,58.40
Factories-simple,NOVELTY-HFT2,6,269.83
Factories-simple,NOVELTY-HFT1,4,60.50
Hiking,NOVELTY-HFT2,5,49.00
Hiking,NOVELTY-HFT1,2,31.00
Logistics-Learned-ECAI-16,NOVELTY-HFT1,10,59.10
Logistics-Learned-ECAI-16,NOVELTY-HFT2,10,57.30
Minecraft-Regular,NOVELTY-HFT1,12,83.25
Minecraft-Regular,NOVELTY-HFT2,12,83.25
Monroe-Fully-Observable,NOVELTY-HFT2,3,24.00
Monroe-Fully-Observable,NOVELTY-HFT1,1,2.00
Monroe-Partially-Observable,NOVELTY-HFT1,1,5.00
Monroe-Partially-Observable,NOVELTY-HFT2,3,8.67
Multiarm-Blocksworld,NOVELTY-HFT2,14,149.21
Multiarm-Blocksworld,NOVELTY-HFT1,5,37.80
Robot,NOVELTY-HFT2,12,26.25
Robot,NOVELTY-HFT1,11,13.91
Rover-GTOHP,NOVELTY-HFT1,7,37.43
Rover-GTOHP,NOVELTY-HFT2,9,53.22
Satellite-GTOHP,NOVELTY-HFT2,8,41.75
Satellite-GTOHP,NOVELTY-HFT1,3,14.33
Snake,NOVELTY-HFT1,2,24.50
Snake,NOVELTY-HFT2,2,24.50
Towers,NOVELTY-HFT1,11,371.18
Towers,NOVELTY-HFT2,11,371.18
Transport,NOVELTY-HFT1,11,24.55
Transport,NOVELTY-HFT2,8,25.75
